imdb_title_id,filled_metascore
tt0006864,99.0
tt0017136,98.0
tt0018037,66.0
tt0018773,90.0
tt0019777,69.0
tt0020629,91.0
tt0021746,70.0
tt0021749,99.0
tt0021884,91.0
tt0022913,80.0
tt0023825,81.0
tt0024025,72.0
tt0024028,80.0
tt0024034,83.0
tt0024216,90.0
tt0024264,92.0
tt0024593,50.0
tt0025164,80.0
tt0025316,87.0
tt0026029,93.0
tt0026138,95.0
tt0026752,87.0
tt0026912,44.0
tt0026942,66.0
tt0027125,92.0
tt0027515,86.0
tt0027977,96.0
tt0028333,91.0
tt0028597,87.0
tt0029453,98.0
tt0029583,95.0
tt0029606,77.0
tt0029843,97.0
tt0029947,91.0
tt0031381,97.0
tt0031491,74.0
tt0031679,73.0
tt0031971,93.0
tt0031983,67.0
tt0032138,100.0
tt0032455,96.0
tt0032551,96.0
tt0032910,99.0
tt0032976,86.0
tt0033110,59.0
tt0033253,78.0
tt0033467,100.0
tt0033563,96.0
tt0033870,96.0
tt0034248,83.0
tt0034398,72.0
tt0034583,100.0
tt0034936,61.0
tt0035015,93.0
tt0035238,62.0
tt0035423,44.0
tt0035896,68.0
tt0035942,84.0
tt0036261,63.0
tt0036775,95.0
tt0036868,93.0
tt0037017,78.0
tt0037790,60.0
tt0037913,88.0
tt0038256,43.0
tt0038574,90.0
tt0038650,89.0
tt0038787,100.0
tt0038854,84.0
tt0038991,76.0
tt0039111,89.0
tt0039566,73.0
tt0040367,75.0
tt0040416,82.0
tt0040746,73.0
tt0040872,82.0
tt0040897,98.0
tt0041650,61.0
tt0041716,71.0
tt0042192,98.0
tt0042200,77.0
tt0042332,85.0
tt0042530,74.0
tt0042876,98.0
tt0043265,91.0
tt0043274,68.0
tt0043278,83.0
tt0043338,72.0
tt0043899,82.0
tt0043924,76.0
tt0044079,88.0
tt0044081,97.0
tt0044706,89.0
tt0045152,99.0
tt0045537,93.0
tt0045793,85.0
tt0046004,91.0
tt0046183,76.0
tt0046250,78.0
tt0046303,80.0
tt0046359,84.0
tt0046534,78.0
tt0046672,83.0
tt0046816,63.0
tt0046828,65.0
tt0046912,75.0
tt0047034,78.0
tt0047296,91.0
tt0047396,100.0
tt0047437,72.0
tt0047478,98.0
tt0047522,89.0
tt0047885,67.0
tt0047892,80.0
tt0048280,78.0
tt0048424,99.0
tt0048432,55.0
tt0048545,89.0
tt0048750,74.0
tt0048977,51.0
tt0049261,84.0
tt0049366,92.0
tt0049406,91.0
tt0049408,72.0
tt0049470,78.0
tt0049730,94.0
tt0050083,96.0
tt0050212,87.0
tt0050825,90.0
tt0050976,88.0
tt0051036,100.0
tt0051418,58.0
tt0051459,84.0
tt0051525,69.0
tt0051658,82.0
tt0051879,69.0
tt0052311,99.0
tt0052357,100.0
tt0052618,90.0
tt0052738,59.0
tt0052918,87.0
tt0053125,98.0
tt0053131,78.0
tt0053137,55.0
tt0053226,84.0
tt0053270,86.0
tt0053285,85.0
tt0053291,98.0
tt0053318,54.0
tt0053604,94.0
tt0053622,48.0
tt0053644,70.0
tt0053925,75.0
tt0054047,74.0
tt0054135,57.0
tt0054177,97.0
tt0054209,80.0
tt0054215,97.0
tt0054331,87.0
tt0054357,61.0
tt0054387,67.0
tt0054443,77.0
tt0054692,58.0
tt0054698,76.0
tt0054743,49.0
tt0054757,55.0
tt0054847,79.0
tt0054997,90.0
tt0055018,88.0
tt0055031,60.0
tt0055184,77.0
tt0055254,83.0
tt0055256,73.0
tt0055304,78.0
tt0055353,87.0
tt0055572,71.0
tt0055597,85.0
tt0055614,86.0
tt0055798,76.0
tt0055824,76.0
tt0055928,78.0
tt0056062,76.0
tt0056085,56.0
tt0056142,40.0
tt0056172,100.0
tt0056193,79.0
tt0056197,75.0
tt0056217,94.0
tt0056218,94.0
tt0056241,83.0
tt0056264,48.0
tt0056279,73.0
tt0056576,72.0
tt0056592,88.0
tt0056687,75.0
tt0056869,90.0
tt0056923,83.0
tt0056937,60.0
tt0057012,97.0
tt0057076,84.0
tt0057091,100.0
tt0057115,86.0
tt0057129,74.0
tt0057163,62.0
tt0057193,59.0
tt0057261,67.0
tt0057546,61.0
tt0057590,77.0
tt0057634,51.0
tt0057706,47.0
tt0057840,68.0
tt0057869,88.0
tt0057877,68.0
tt0057997,66.0
tt0058150,87.0
tt0058182,96.0
tt0058265,63.0
tt0058331,88.0
tt0058385,95.0
tt0058414,87.0
tt0058461,65.0
tt0058576,73.0
tt0058725,69.0
tt0058777,77.0
tt0058946,96.0
tt0059113,69.0
tt0059170,65.0
tt0059243,71.0
tt0059274,81.0
tt0059418,62.0
tt0059575,69.0
tt0059578,74.0
tt0059646,91.0
tt0059742,63.0
tt0059800,64.0
tt0060121,69.0
tt0060153,71.0
tt0060176,82.0
tt0060196,90.0
tt0060397,72.0
tt0060424,63.0
tt0060472,72.0
tt0060490,51.0
tt0060665,72.0
tt0060736,64.0
tt0060782,58.0
tt0061107,55.0
tt0061184,75.0
tt0061418,86.0
tt0061439,70.0
tt0061452,48.0
tt0061512,92.0
tt0061578,73.0
tt0061584,34.0
tt0061619,85.0
tt0061648,55.0
tt0061655,56.0
tt0061722,83.0
tt0061735,63.0
tt0061747,62.0
tt0061770,80.0
tt0061809,89.0
tt0061811,75.0
tt0061852,65.0
tt0062138,86.0
tt0062185,67.0
tt0062376,55.0
tt0062407,78.0
tt0062467,81.0
tt0062512,61.0
tt0062622,84.0
tt0062711,51.0
tt0062765,81.0
tt0062803,64.0
tt0062994,89.0
tt0063350,89.0
tt0063374,86.0
tt0063385,74.0
tt0063442,79.0
tt0063462,96.0
tt0063522,96.0
tt0063634,53.0
tt0063688,66.0
tt0063803,63.0
tt0063823,79.0
tt0064100,72.0
tt0064115,66.0
tt0064116,80.0
tt0064117,67.0
tt0064253,89.0
tt0064276,85.0
tt0064418,51.0
tt0064437,82.0
tt0064505,70.0
tt0064639,62.0
tt0064652,87.0
tt0064665,79.0
tt0064757,61.0
tt0064782,50.0
tt0065054,53.0
tt0065063,67.0
tt0065134,62.0
tt0065150,48.0
tt0065207,63.0
tt0065214,97.0
tt0065215,70.0
tt0065377,42.0
tt0065421,66.0
tt0065462,46.0
tt0065466,60.0
tt0065492,72.0
tt0065528,70.0
tt0065571,100.0
tt0065724,85.0
tt0065761,63.0
tt0065797,53.0
tt0065854,55.0
tt0065938,50.0
tt0065963,75.0
tt0065988,63.0
tt0066011,84.0
tt0066026,80.0
tt0066090,62.0
tt0066206,91.0
tt0066301,55.0
tt0066434,75.0
tt0066473,46.0
tt0066769,60.0
tt0066808,67.0
tt0066817,59.0
tt0066831,57.0
tt0066832,50.0
tt0066921,77.0
tt0066995,59.0
tt0066999,90.0
tt0067065,69.0
tt0067093,67.0
tt0067116,94.0
tt0067185,62.0
tt0067277,71.0
tt0067309,81.0
tt0067328,93.0
tt0067334,52.0
tt0067541,85.0
tt0067549,74.0
tt0067588,78.0
tt0067741,66.0
tt0067756,67.0
tt0067800,73.0
tt0067810,71.0
tt0067866,65.0
tt0067893,89.0
tt0067927,61.0
tt0067959,85.0
tt0067992,67.0
tt0068309,61.0
tt0068327,80.0
tt0068361,93.0
tt0068408,49.0
tt0068421,52.0
tt0068473,80.0
tt0068555,66.0
tt0068611,91.0
tt0068612,54.0
tt0068638,55.0
tt0068646,100.0
tt0068699,69.0
tt0068713,68.0
tt0068762,75.0
tt0068767,68.0
tt0068833,68.0
tt0068931,51.0
tt0068935,58.0
tt0069005,37.0
tt0069089,47.0
tt0069113,70.0
tt0069239,40.0
tt0069280,66.0
tt0069293,90.0
tt0069332,67.0
tt0069704,97.0
tt0069762,93.0
tt0069768,40.0
tt0069895,63.0
tt0069897,60.0
tt0069945,66.0
tt0069995,96.0
tt0070034,83.0
tt0070047,81.0
tt0070215,68.0
tt0070290,89.0
tt0070328,55.0
tt0070334,87.0
tt0070379,96.0
tt0070510,77.0
tt0070511,58.0
tt0070518,53.0
tt0070608,57.0
tt0070666,87.0
tt0070707,77.0
tt0070735,83.0
tt0070849,77.0
tt0070895,60.0
tt0070909,77.0
tt0070917,87.0
tt0070948,46.0
tt0071110,50.0
tt0071115,78.0
tt0071206,35.0
tt0071222,65.0
tt0071230,73.0
tt0071266,67.0
tt0071315,92.0
tt0071360,85.0
tt0071402,51.0
tt0071424,52.0
tt0071455,56.0
tt0071517,46.0
tt0071524,62.0
tt0071562,90.0
tt0071569,69.0
tt0071571,56.0
tt0071577,43.0
tt0071615,76.0
tt0071675,72.0
tt0071771,61.0
tt0071772,53.0
tt0071807,43.0
tt0071853,93.0
tt0071877,63.0
tt0071994,67.0
tt0072081,61.0
tt0072226,65.0
tt0072251,68.0
tt0072271,78.0
tt0072274,82.0
tt0072288,62.0
tt0072308,69.0
tt0072431,80.0
tt0072684,89.0
tt0072730,68.0
tt0072820,72.0
tt0072856,59.0
tt0072890,86.0
tt0072895,67.0
tt0072926,61.0
tt0072973,70.0
tt0073018,68.0
tt0073092,69.0
tt0073133,77.0
tt0073195,87.0
tt0073260,50.0
tt0073312,89.0
tt0073341,91.0
tt0073440,96.0
tt0073486,83.0
tt0073540,81.0
tt0073629,58.0
tt0073692,65.0
tt0073705,58.0
tt0073802,63.0
tt0073812,66.0
tt0073906,67.0
tt0074084,70.0
tt0074119,84.0
tt0074156,89.0
tt0074256,71.0
tt0074285,85.0
tt0074452,61.0
tt0074455,48.0
tt0074483,58.0
tt0074486,87.0
tt0074512,79.0
tt0074559,46.0
tt0074593,25.0
tt0074614,50.0
tt0074751,61.0
tt0074806,53.0
tt0074812,53.0
tt0074860,64.0
tt0074901,81.0
tt0074958,83.0
tt0074991,59.0
tt0075005,62.0
tt0075029,69.0
tt0075066,60.0
tt0075148,70.0
tt0075222,75.0
tt0075223,41.0
tt0075265,59.0
tt0075314,94.0
tt0075342,52.0
tt0075612,71.0
tt0075648,36.0
tt0075675,79.0
tt0075686,92.0
tt0075860,90.0
tt0075925,41.0
tt0075968,70.0
tt0076009,39.0
tt0076070,59.0
tt0076138,35.0
tt0076141,55.0
tt0076150,67.0
tt0076221,61.0
tt0076240,79.0
tt0076245,58.0
tt0076257,61.0
tt0076299,85.0
tt0076451,64.0
tt0076538,46.0
tt0076618,74.0
tt0076666,77.0
tt0076729,50.0
tt0076740,68.0
tt0076752,55.0
tt0076759,90.0
tt0077235,54.0
tt0077248,77.0
tt0077269,40.0
tt0077280,78.0
tt0077294,38.0
tt0077305,58.0
tt0077355,60.0
tt0077362,61.0
tt0077369,47.0
